127.0.0.1 - - [30/Dec/2025:10:00:36 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [30/Dec/2025:15:41:58 +0900] "GET /HTML01/13_form.html HTTP/1.1" 200 1035
0:0:0:0:0:0:0:1 - - [30/Dec/2025:15:42:00 +0900] "GET /HTML01/13_form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2025:15:42:59 +0900] "GET /HTML01/13_form.html HTTP/1.1" 200 1118
0:0:0:0:0:0:0:1 - - [30/Dec/2025:15:43:28 +0900] "GET /HTML01/13_form.html HTTP/1.1" 200 1121
0:0:0:0:0:0:0:1 - - [30/Dec/2025:15:45:46 +0900] "GET /HTML01/13_form.html HTTP/1.1" 200 1130
0:0:0:0:0:0:0:1 - - [30/Dec/2025:15:49:08 +0900] "GET /HTML01/13_form.html HTTP/1.1" 200 1298
0:0:0:0:0:0:0:1 - - [30/Dec/2025:15:49:38 +0900] "GET /HTML01/13_form.html HTTP/1.1" 200 1298
0:0:0:0:0:0:0:1 - - [30/Dec/2025:15:49:58 +0900] "GET /HTML01/13_form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2025:15:50:10 +0900] "GET /HTML01/13_form.html HTTP/1.1" 200 1298
0:0:0:0:0:0:0:1 - - [30/Dec/2025:15:50:11 +0900] "GET /HTML01/13_form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2025:16:04:43 +0900] "GET /HTML01/13_form.html HTTP/1.1" 200 1518
0:0:0:0:0:0:0:1 - - [30/Dec/2025:16:05:39 +0900] "GET /HTML01/13_form.html HTTP/1.1" 200 1599
0:0:0:0:0:0:0:1 - - [30/Dec/2025:16:06:46 +0900] "GET /HTML01/HelloWorld.html HTTP/1.1" 200 2086
0:0:0:0:0:0:0:1 - - [30/Dec/2025:16:06:59 +0900] "GET /HTML01/HelloWorld.html HTTP/1.1" 200 2086
0:0:0:0:0:0:0:1 - - [30/Dec/2025:16:07:12 +0900] "GET /HTML01/HelloWorld.html HTTP/1.1" 200 2088
0:0:0:0:0:0:0:1 - - [30/Dec/2025:16:08:16 +0900] "GET /HTML01/13_form.html HTTP/1.1" 200 1611
0:0:0:0:0:0:0:1 - - [30/Dec/2025:16:09:52 +0900] "GET /HTML01/13_form.html HTTP/1.1" 200 1625
0:0:0:0:0:0:0:1 - - [30/Dec/2025:16:12:49 +0900] "GET /HTML01/13_form.html HTTP/1.1" 200 1666
0:0:0:0:0:0:0:1 - - [30/Dec/2025:16:17:43 +0900] "GET /HTML01/13_form.html HTTP/1.1" 200 1986
0:0:0:0:0:0:0:1 - - [30/Dec/2025:16:17:55 +0900] "GET /HTML01/13_form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2025:16:17:57 +0900] "GET /HTML01/13_form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2025:16:18:09 +0900] "GET /HTML01/13_form.html HTTP/1.1" 200 1995
0:0:0:0:0:0:0:1 - - [30/Dec/2025:16:18:17 +0900] "GET /HTML01/13_form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2025:16:18:19 +0900] "GET /HTML01/13_form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2025:16:18:22 +0900] "GET /HTML01/13_form.html HTTP/1.1" 200 1995
0:0:0:0:0:0:0:1 - - [30/Dec/2025:16:19:15 +0900] "GET /HTML01/13_form.html HTTP/1.1" 200 2000
0:0:0:0:0:0:0:1 - - [30/Dec/2025:16:23:43 +0900] "GET /HTML01/13_form.html HTTP/1.1" 200 2202
0:0:0:0:0:0:0:1 - - [30/Dec/2025:16:26:15 +0900] "GET /HTML01/13_form.html HTTP/1.1" 200 2337
0:0:0:0:0:0:0:1 - - [30/Dec/2025:16:28:32 +0900] "GET /HTML01/13_form.html HTTP/1.1" 200 2402
0:0:0:0:0:0:0:1 - - [30/Dec/2025:16:28:40 +0900] "GET /HTML01/13_form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2025:16:28:44 +0900] "GET /HTML01/13_form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2025:16:29:11 +0900] "GET /HTML01/13_form.html HTTP/1.1" 200 2424
0:0:0:0:0:0:0:1 - - [30/Dec/2025:16:30:57 +0900] "GET /HTML01/13_form.html HTTP/1.1" 200 2492
0:0:0:0:0:0:0:1 - - [30/Dec/2025:16:31:19 +0900] "GET /HTML01/13_form.html HTTP/1.1" 200 2492
0:0:0:0:0:0:0:1 - - [30/Dec/2025:16:31:39 +0900] "GET /HTML01/13_form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2025:16:31:49 +0900] "GET /HTML01/13_form.html HTTP/1.1" 200 2536
0:0:0:0:0:0:0:1 - - [30/Dec/2025:16:31:50 +0900] "GET /HTML01/13_form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2025:16:32:44 +0900] "GET /HTML01/13_form.html HTTP/1.1" 200 2552
0:0:0:0:0:0:0:1 - - [30/Dec/2025:16:40:49 +0900] "GET /HTML01/13_form.html HTTP/1.1" 200 2964
0:0:0:0:0:0:0:1 - - [30/Dec/2025:16:40:49 +0900] "GET /HTML01/image/cart.jpg HTTP/1.1" 200 3040
0:0:0:0:0:0:0:1 - - [30/Dec/2025:16:41:10 +0900] "POST /HTML01/newMember.jsp HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [30/Dec/2025:16:43:24 +0900] "POST /HTML01/newMember.jsp HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [30/Dec/2025:16:48:19 +0900] "GET /HTML01/13_form.html HTTP/1.1" 200 3415
0:0:0:0:0:0:0:1 - - [30/Dec/2025:16:50:05 +0900] "GET /HTML01/search.jsp?nation=%ED%98%B8%EC%A3%BC HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [30/Dec/2025:16:50:27 +0900] "GET /HTML01/search.jsp?nation=%EA%B8%B0%ED%83%80 HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [30/Dec/2025:17:05:46 +0900] "GET /HTML01/HelloWorld.html HTTP/1.1" 200 2342
0:0:0:0:0:0:0:1 - - [30/Dec/2025:17:06:26 +0900] "GET /HTML01/HelloWorld.html HTTP/1.1" 200 2377
0:0:0:0:0:0:0:1 - - [30/Dec/2025:17:06:39 +0900] "GET /HTML01/HelloWorld.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2025:17:06:41 +0900] "GET /HTML01/HelloWorld.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2025:17:06:54 +0900] "GET /HTML01/HelloWorld.html HTTP/1.1" 200 2383
0:0:0:0:0:0:0:1 - - [30/Dec/2025:17:07:25 +0900] "GET /HTML01/HelloWorld.html HTTP/1.1" 200 2428
0:0:0:0:0:0:0:1 - - [30/Dec/2025:17:07:28 +0900] "GET /HTML01/HelloWorld.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2025:17:07:43 +0900] "GET /HTML01/HelloWorld.html HTTP/1.1" 200 2443
0:0:0:0:0:0:0:1 - - [30/Dec/2025:17:11:15 +0900] "GET /HTML01/HelloWorld.html HTTP/1.1" 200 2502
0:0:0:0:0:0:0:1 - - [30/Dec/2025:17:14:16 +0900] "GET /HTML01/join.html HTTP/1.1" 200 181
0:0:0:0:0:0:0:1 - - [30/Dec/2025:17:22:52 +0900] "GET /HTML01/join.html HTTP/1.1" 200 930
0:0:0:0:0:0:0:1 - - [30/Dec/2025:17:24:01 +0900] "GET /HTML01/join.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2025:17:24:03 +0900] "GET /HTML01/join.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2025:17:24:21 +0900] "GET /HTML01/join.html HTTP/1.1" 200 995
0:0:0:0:0:0:0:1 - - [30/Dec/2025:17:24:55 +0900] "GET /HTML01/join.html HTTP/1.1" 200 1077
0:0:0:0:0:0:0:1 - - [30/Dec/2025:17:27:48 +0900] "GET /HTML01/join.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2025:17:27:50 +0900] "GET /HTML01/join.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2025:17:27:53 +0900] "GET /HTML01/join.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2025:17:27:55 +0900] "GET /HTML01/join.html HTTP/1.1" 200 1236
0:0:0:0:0:0:0:1 - - [30/Dec/2025:17:28:56 +0900] "GET /HTML01/join.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2025:17:28:58 +0900] "GET /HTML01/join.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2025:17:29:00 +0900] "GET /HTML01/join.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2025:17:29:02 +0900] "GET /HTML01/join.html HTTP/1.1" 200 1343
0:0:0:0:0:0:0:1 - - [30/Dec/2025:17:36:10 +0900] "GET /HTML01/join.html HTTP/1.1" 200 1707
0:0:0:0:0:0:0:1 - - [30/Dec/2025:17:37:09 +0900] "GET /HTML01/join.html HTTP/1.1" 200 2045
0:0:0:0:0:0:0:1 - - [30/Dec/2025:17:37:10 +0900] "GET /HTML01/join.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2025:17:37:22 +0900] "GET /HTML01/join.html HTTP/1.1" 200 2097
0:0:0:0:0:0:0:1 - - [30/Dec/2025:17:37:50 +0900] "GET /HTML01/join.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2025:17:37:57 +0900] "GET /HTML01/join.html HTTP/1.1" 200 2099
0:0:0:0:0:0:0:1 - - [30/Dec/2025:17:37:57 +0900] "GET /HTML01/join.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2025:17:38:04 +0900] "GET /HTML01/join.html HTTP/1.1" 200 2101
0:0:0:0:0:0:0:1 - - [30/Dec/2025:17:38:16 +0900] "GET /HTML01/join.html HTTP/1.1" 200 2096
0:0:0:0:0:0:0:1 - - [30/Dec/2025:17:38:17 +0900] "GET /HTML01/join.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2025:17:38:19 +0900] "GET /HTML01/join.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2025:17:39:24 +0900] "GET /HTML01/join.html HTTP/1.1" 200 2068
0:0:0:0:0:0:0:1 - - [30/Dec/2025:17:39:27 +0900] "GET /HTML01/join.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2025:17:39:30 +0900] "GET /HTML01/join.html HTTP/1.1" 200 2149
0:0:0:0:0:0:0:1 - - [30/Dec/2025:17:39:39 +0900] "GET /HTML01/join.html HTTP/1.1" 200 2157
0:0:0:0:0:0:0:1 - - [30/Dec/2025:17:39:54 +0900] "GET /HTML01/join.html HTTP/1.1" 200 2161
0:0:0:0:0:0:0:1 - - [30/Dec/2025:17:40:23 +0900] "GET /HTML01/join.html HTTP/1.1" 200 2193
0:0:0:0:0:0:0:1 - - [30/Dec/2025:17:40:50 +0900] "GET /HTML01/join.html HTTP/1.1" 200 2197
0:0:0:0:0:0:0:1 - - [30/Dec/2025:17:41:18 +0900] "GET /HTML01/join.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2025:17:41:24 +0900] "GET /HTML01/join.html HTTP/1.1" 200 2189
0:0:0:0:0:0:0:1 - - [30/Dec/2025:17:43:57 +0900] "GET /HTML01/join.html HTTP/1.1" 200 2778
0:0:0:0:0:0:0:1 - - [30/Dec/2025:17:44:40 +0900] "GET /HTML01/join.html HTTP/1.1" 200 2777
0:0:0:0:0:0:0:1 - - [30/Dec/2025:17:44:42 +0900] "GET /HTML01/join.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2025:17:45:55 +0900] "GET /HTML01/join.html HTTP/1.1" 200 2797
0:0:0:0:0:0:0:1 - - [30/Dec/2025:17:45:56 +0900] "GET /HTML01/join.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2025:17:46:44 +0900] "GET /HTML01/join.html HTTP/1.1" 200 2833
0:0:0:0:0:0:0:1 - - [30/Dec/2025:17:46:52 +0900] "GET /HTML01/join.html HTTP/1.1" 200 2837
0:0:0:0:0:0:0:1 - - [30/Dec/2025:17:47:42 +0900] "GET /HTML01/join.html HTTP/1.1" 200 2866
